"Observation.Number"	"dist_cod"	"county"	"district"	"gr_span"	"enrl_tot"	"teachers"	"calw_pct"	"meal_pct"	"computer"	"testscr"	"expn_stu"	"avginc"	"el_pct"	"read_scr"	"math_scr"	"str"	"str2"	"csr"	"above_dummy"
"28"	28	63313	"Kern"	"Arvin Union Elementary"	"KK-08"	2601	135	15.07110023	92.19529724	269	623.4500122	5223.912109	7.304999828	70.01153564	616.5	630.4000244	19.2666666666667	0.103421760861207	0.103421760861207	0
"29"	29	72199	"Tulare"	"Terra Bella Union Elementary"	"KK-08"	847	44	16.2928009	90.20069885	67	623.5999756	5139.164551	8.934000015	55.96221542	620.0999756	627.0999756	19.25	0.0791027154663518	0.0791027154663518	0
"30"	30	72215	"Tulare"	"Tipton Elementary"	"KK-08"	452	22	14.49890041	81.02349854	55	624.1500244	4614.251953	8.553999901	11.06194687	627.9000244	620.4000244	20.5454545454545	0.121681415929204	0.121681415929204	0
"31"	31	68379	"San Diego"	"San Ysidro Elementary"	"KK-08"	4142	201	35.5625	81.50650024	569	624.5500488	5342.233398	6.612999916	80.42008972	620.4000244	628.7000122	20.6069651741294	0.137373249637856	0.137373249637856	0
"32"	32	75440	"Monterey"	"Soledad Unified"	"KK-08"	2102	99.75	15.31989956	90.28489685	224	624.9500122	5347.458496	12.4090004	63.13035583	623	626.9000244	21.0726817042607	0.106565176022835	0.106565176022835	0
"33"	33	64816	"Los Angeles"	"Mountain View Elementary"	"KK-08"	10012	464.8999939	29.76390076	91.59339905	721	625.2999878	5036.458984	8.126615524	65.12185669	620.7999878	629.7999878	21.535814436155	0.0720135836995605	0.0720135836995605	0
"34"	34	66050	"Monterey"	"King City Union Elementary"	"KK-08"	2488	125	12.69200039	55.0929985	202	625.8499756	5117.141602	11.43099976	53.41640091	626.0999756	625.5999756	19.904	0.0811897106109325	0.0811897106109325	0
"35"	35	67819	"San Bernardino"	"Ontario-Montclair Elementary"	"KK-08"	25151	1186.699951	17.44260025	80.19560242	1713	626.0999756	5117.039551	11.72222519	49.82307053	625.4000244	626.7999878	21.194068457495	0.0681086239115741	0.0681086239115741	0
"36"	36	64758	"Los Angeles"	"Los Nietos Elementary"	"KK-08"	2267	103.6800003	19.15169907	84.43379974	177	626.8000488	5272.191895	11.33250046	35.46537018	625.4000244	628.2000122	21.8653548750038	0.0780767534186149	0.0780767534186149	0
"37"	37	65870	"Merced"	"Winton Elementary"	"KK-08"	1657	90.40000153	28.84729958	84.73139954	204	626.9000244	5225.719238	9.597999573	56.12552643	623.5999756	630.2000122	18.3296457074739	0.123114061557031	0.123114061557031	0
"38"	38	62380	"Fresno"	"Raisin City Elementary"	"KK-08"	284	17.5	14.52700043	94.93240356	18	627.0999756	6516.533203	14.55799961	32.39436722	628.9000244	625.2999878	16.2285714285714	0.0633802816901408	0.0633802816901408	0
"39"	39	68999	"San Mateo"	"Ravenswood City Elementary"	"KK-08"	5370	280	19.57169914	81.11730194	562	627.25	4559.176758	22.05999947	65.51210022	624.4000244	630.0999756	19.1785714285714	0.104655493482309	0.104655493482309	0
"40"	40	63578	"Kern"	"Richland-Lerdo Union Elementary"	"KK-08"	2471	121.8600006	23.79599953	87.77819824	275	627.2999878	5119.158203	9.708999634	53.05544281	627.5	627.0999756	20.2773673710289	0.111290975313638	0.111290975313638	0
"41"	41	72538	"Ventura"	"Oxnard Elementary"	"KK-08"	15386	669.3599854	12.50640011	71.43309784	1762	628.25	5338.185547	11.48294449	49.64253235	627.7999878	628.7000122	22.9861365118884	0.11451969322761	0.11451969322761	0
"42"	42	65680	"Merced"	"El Nido Elementary"	"KK-08"	184	9	22.2826004	85.86959839	40	628.4000244	5090.044922	8.17800045	45.10869598	621.5999756	635.2000122	20.4444444444444	0.217391304347826	0.217391304347826	0
"43"	43	63461	"Kern"	"Fairfax Elementary"	"KK-08"	1217	61.40000153	33.90800095	88.09519958	78	628.5500488	5485.496094	8.173999786	30.32045937	629.4000244	627.7000122	19.8208464116304	0.0640920295809367	0.0640920295809367	0
"44"	44	63404	"Kern"	"Delano Union Elementary"	"KK-08"	6219	268	21.49860001	100	571	628.6500244	4793.370117	7.5	52.24312592	621.0999756	636.2000122	23.205223880597	0.091815404405853	0.091815404405853	0
"45"	45	67199	"Riverside"	"Perris Elementary"	"KK-06"	4258	221	24.65950012	92.74310303	324	628.75	5092.91748	10.05049992	36.80131531	626.5	631	19.2669683257919	0.0760920620009394	0.0760920620009394	0
"46"	46	65078	"Los Angeles"	"Valle Lindo Elementary"	"KK-08"	1235	53	8.218299866	62.13019943	175	629.8000488	4359.520996	7.331999779	30.28339958	630.2000122	629.4000244	23.3018867924528	0.1417004048583	0.1417004048583	0
"47"	47	69369	"Santa Clara"	"Alum Rock Union Elementary"	"KK-08"	16244	766.6500244	17.4531002	69.73989868	1423	630.3499756	5645.495605	12.5815773	49.8645668	629.5	631.2000122	21.1882860275299	0.0876015759665107	0.0876015759665107	0
"48"	48	63438	"Kern"	"Edison Elementary"	"KK-08"	814	39	19.77890015	67.44470215	85	630.4000244	4518.016113	15.17700005	13.75921345	631.9000244	628.9000244	20.8717948717949	0.104422604422604	0.104422604422604	0
"49"	49	63321	"Kern"	"Bakersfield City Elementary"	"KK-08"	27176	1429	39.21839905	84.29499817	3324	630.5499878	5864.366211	12.109128	28.86370468	631.5999756	629.5	19.0174947515745	0.122313806299676	0.122313806299676	0
"50"	50	69450	"Santa Clara"	"Franklin-McKinley Elementary"	"KK-08"	10696	487.9700012	22.15780067	70.89569855	1306	630.5499878	5257.996582	11.78499985	52.80478668	628.5	632.5999756	21.9193802358685	0.12210172026926	0.12210172026926	0
"51"	51	64592	"Los Angeles"	"Hawthorne Elementary"	"KK-08"	8935	444.5	36.94509888	79.51200104	786	631.0500488	5016.692383	14.06200027	44.08506012	628.4000244	633.7000122	20.1012373453318	0.0879686625629547	0.0879686625629547	0
"52"	52	65193	"Madera"	"Chowchilla Elementary"	"KK-08"	1600	74.5	27.26140022	79.72550201	242	631.4000244	4720.086426	10.47200012	35.25	635.7000122	627.0999756	21.4765100671141	0.15125	0.15125	0
"53"	53	66142	"Monterey"	"Salinas City Elementary"	"KK-06"	9028	449.9200134	13.98849964	69.94249725	669	631.8499756	5470.5625	13.40511703	37.49446106	633	630.7000122	20.0657888760634	0.0741027913159061	0.0741027913159061	0
"54"	54	69120	"Santa Barbara"	"Santa Maria-Bonita Elementary"	"KK-08"	10625	521.4699707	7.497499943	77.52559662	896	631.9000244	5615.441895	12.30179977	50.39059067	629.5999756	634.2000122	20.3750946305449	0.0843294117647059	0.0843294117647059	0
"55"	55	65110	"Los Angeles"	"Whittier City Elementary"	"KK-08"	7151	318.5799866	18.54809952	61.73820114	560	631.9500122	5245.439941	15.40407085	31.07257843	634.2000122	629.7000122	22.4464822047299	0.0783107257726192	0.0783107257726192	0
"56"	56	64477	"Los Angeles"	"Eastside Union Elementary"	"KK-08"	2404	105	20.92740059	52.94350052	202	632	4838.175293	13.76200008	18.26123238	633.5	630.5	22.8952380952381	0.084026622296173	0.084026622296173	0
"57"	57	64691	"Los Angeles"	"Lawndale Elementary"	"KK-08"	5804	283.1499939	28.34250069	81.11650085	480	632.2000122	5367.988281	14.18400002	34.70020676	631.4000244	633	20.4979697158312	0.0827015851137147	0.0827015851137147	0
"58"	58	67421	"Sacramento"	"Robla Elementary"	"KK-06"	2253	112.6500015	43.49760056	84.55390167	196	632.25	5526.236816	8.864999771	33.28894806	637.5	627	19.9999997336884	0.0869951176209498	0.0869951176209498	0
"59"	59	66191	"Monterey"	"Santa Rita Union Elementary"	"KK-08"	2807	126.1200027	15.45950031	52.39640045	152	632.4499512	4353.019531	12.99699974	33.48770905	637.2999878	627.5999756	22.256580557463	0.0541503384396152	0.0541503384396152	0
"60"	60	72561	"Ventura"	"Rio Elementary"	"KK-08"	3074	142.5500031	11.28979969	66.19490051	249	632.8499756	5034.290039	11.59200001	38.15875244	633.2000122	632.5	21.5643629123148	0.0810019518542616	0.0810019518542616	0
"61"	61	72157	"Tulare"	"Strathmore Union Elementary"	"KK-08"	723	37.11999893	25.92110062	83.15789795	45	632.9500122	4692.493652	8.279000282	36.92946243	629.2000122	636.7000122	19.4773712510988	0.0622406639004149	0.0622406639004149	0
"62"	62	67397	"Sacramento"	"North Sacramento Elementary"	"KK-06"	5138	290.7749939	58.75220108	84.99900055	560	633.0499878	5606.781738	10.90564251	32.98949051	630.2999878	635.7999878	17.670020145429	0.108991825613079	0.108991825613079	0
"63"	63	66423	"Orange"	"Anaheim Elementary"	"KK-06"	20927	953.5	10.91139984	82.39260101	1048	633.1500244	4969.180664	13.40062523	58.21665573	629.5999756	636.7000122	21.9475616151023	0.0500788455105844	0.0500788455105844	0
"64"	64	63974	"Kings"	"Lemoore Union Elementary"	"KK-08"	3017	138.5	14.97679996	56.06359863	496	633.6500244	4675.674805	11.08100033	17.00364685	634.4000244	632.9000244	21.7833935018051	0.164401723566457	0.164401723566457	0
"65"	65	63875	"Kings"	"Armona Union Elementary"	"KK-08"	957	50	27.16819954	82.13169861	149	633.9000244	5306.132813	9.081999779	17.65935326	634.7000122	633.0999756	19.14	0.155694879832811	0.155694879832811	0
"66"	66	63339	"Kern"	"Beardsley Elementary"	"KK-08"	1639	90.5	46.88819885	80.60420227	287	634	5693.883301	13.39000034	7.321537495	638.4000244	629.5999756	18.1104972375691	0.175106772422209	0.175106772422209	0
"67"	67	65037	"Los Angeles"	"South Whittier Elementary"	"KK-08"	4340	209.8399963	17.70260048	93.92269897	284	634.0500488	5181.57959	14.60162544	31.19815636	631.9000244	636.2000122	20.6824250692193	0.0654377880184332	0.0654377880184332	0
"68"	68	63917	"Kings"	"Hanford Elementary"	"KK-08"	5079	224.5	25.55929947	63.80360031	585	634.0999756	5228.650879	11.11600018	16.61744499	637.7000122	630.5	22.6236080178174	0.115180153573538	0.115180153573538	0
"69"	69	68221	"San Diego"	"National Elementary"	"KK-06"	6639	304.730011	26.84140015	100	505	634.0999756	5339.391113	8.423000336	58.08103561	631.5	636.7000122	21.7864987377302	0.0760656725410453	0.0760656725410453	0
"70"	70	70904	"Sonoma"	"Roseland Elementary"	"KK-06"	1154	62.09999847	22.92770004	84.92060089	129	634.1500244	6056.49707	11.66499996	55.89254379	636.7999878	631.5	18.5829312146841	0.111785095320624	0.111785095320624	0
"71"	71	63420	"Kern"	"Di Giorgio Elementary"	"KK-08"	237	11	19.83119965	76.79319763	13	634.1999512	4845.680176	7.304999828	5.485232353	631.7999878	636.5999756	21.5454545454545	0.0548523206751055	0.0548523206751055	0
"72"	72	64642	"Los Angeles"	"Keppel Union Elementary"	"KK-08"	2987	141.2100067	21.25880051	68.39640045	273	634.4000244	4826.666016	13.7305994	14.4291935	637.7000122	631.0999756	21.1528918509711	0.0913960495480415	0.0913960495480415	0
"73"	73	63966	"Kings"	"Lakeside Union Elementary"	"KK-08"	499	30	40.36700058	83.11930084	94	634.5499878	5367.090332	11.11600018	22.84569168	635.5	633.5999756	16.6333333333333	0.188376753507014	0.188376753507014	0
"74"	74	65771	"Merced"	"Merced City Elementary"	"KK-08"	11474	542.6500244	40.55260086	77.0089035	1248	634.7000122	5742.73291	10.36442852	38.78333664	633.2000122	636.2000122	21.1443830905317	0.108767648596828	0.108767648596828	0
"75"	75	69203	"Santa Barbara"	"Guadalupe Union Elementary"	"KK-08"	1088	55	14.15439987	86.02940369	107	634.9000244	4136.250977	6.982999802	64.24632263	631.0999756	638.7000122	19.7818181818182	0.0983455882352941	0.0983455882352941	0
"76"	76	67694	"San Bernardino"	"Cucamonga Elementary"	"KK-08"	2660	140.1199951	15.76010036	74.85099792	259	634.9499512	5267.831055	14.46780014	25.22556496	637.7999878	632.0999756	18.9837288968047	0.0973684210526316	0.0973684210526316	0
"77"	77	61705	"Contra Costa"	"Knightsen Elementary"	"KK-08"	353	19.97999954	8.672100067	33.06230164	8	635.0499878	5238.39209	14.65299988	5.382436275	636.5999756	633.5	17.6676680744308	0.0226628895184136	0.0226628895184136	0
"78"	78	63008	"Humboldt"	"Rio Dell Elementary"	"KK-08"	329	18.53000069	28.91570091	85.54219818	37	635.1999512	5462.899414	10.62899971	6.079027653	644.2999878	626.0999756	17.7549912438778	0.112462006079027	0.112462006079027	0
"79"	79	70417	"Siskiyou"	"Montague Elementary"	"KK-08"	252	16.5	23.45680046	66.25509644	32	635.4500122	6313.373535	9.781000137	0	640.9000244	630	15.2727272727273	0.126984126984127	0.126984126984127	0
"80"	80	70409	"Siskiyou"	"McCloud Union Elementary"	"KK-08"	175	12.5	21.76469994	68.82350159	31	635.5999756	6653.030762	10.65600014	0	634.5999756	636.5999756	14	0.177142857142857	0.177142857142857	0
"81"	81	72587	"Ventura"	"Santa Paula Elementary"	"KK-08"	3835	186.1999969	13.99110031	72.8628006	897	635.5999756	5533.149414	11.93799973	34.88917923	633	638.2000122	20.5961335330183	0.233898305084746	0.233898305084746	0
"82"	82	62539	"Fresno"	"West Park Elementary"	"KK-08"	314	19.25	29.93630028	93.63059998	8	635.75	6118.710449	7.385000229	13.05732441	636.7000122	634.7999878	16.3116883116883	0.0254777070063694	0.0254777070063694	0
"83"	83	65631	"Merced"	"Atwater Elementary"	"KK-08"	4458	211	22.22220039	72.32080078	445	635.9500122	5098.626953	10.67599964	36.0251236	633.2000122	638.7000122	21.1279620853081	0.0998205473306415	0.0998205473306415	0
"84"	84	65862	"Merced"	"Weaver Union Elementary"	"KK-08"	1313	75.08000183	32.08679962	73.59760284	112	636.0999756	5652.878906	9.972000122	34.65346527	633.9000244	638.2999878	17.4880123601084	0.0853008377760853	0.0853008377760853	0
"85"	85	62356	"Fresno"	"Pacific Union Elementary"	"KK-08"	474	26.5	21.5189991	75.73840332	36	636.5	5329.002441	8.258000374	28.69198227	634.7000122	638.2999878	17.8867924528302	0.0759493670886076	0.0759493670886076	0
"86"	86	75051	"San Bernardino"	"Lucerne Valley Unified"	"KK-08"	1114	57.70000076	29.44680023	62.21279907	277	636.5999756	5929.809082	8.895999908	1.795332193	645.4000244	627.7999878	19.3067588444864	0.248653500897666	0.248653500897666	0
"87"	87	67231	"Riverside"	"Romoland Elementary"	"KK-06"	1358	65	14.79030037	80.86830139	178	636.6999512	4897.067871	12.06200027	30.63328552	632.2999878	641.0999756	20.8923076923077	0.131075110456554	0.131075110456554	0
"88"	88	64501	"Los Angeles"	"El Monte City Elementary"	"KK-08"	11629	546.2999878	25.37940025	83.873703	1015	636.9000244	5100.202148	9.428894997	59.0334549	632.4000244	641.4000244	21.2868392086755	0.0872817955112219	0.0872817955112219	0
"89"	89	63503	"Kern"	"Greenfield Union Elementary"	"KK-08"	6195	306.75	21.04330063	68.57189941	1261	636.9500122	4825.722656	8.920332909	13.55932236	636.2000122	637.7000122	20.1955990220049	0.203551251008878	0.203551251008878	0
"90"	90	72033	"Tulare"	"Palo Verde Union Elementary"	"KK-08"	499	20	23.69939995	80.92489624	35	637	4079.12915	10.09799957	5.010019779	636.0999756	637.9000244	24.95	0.0701402805611222	0.0701402805611222	0
"91"	91	67322	"Sacramento"	"Elverta Joint Elementary"	"KK-08"	417	23	19.90410042	46.04320145	27	637.0999756	5349.367676	11.82999992	0.959232628	638	636.2000122	18.1304347826087	0.0647482014388489	0.0647482014388489	0
"92"	92	64048	"Lake"	"Lucerne Elementary"	"KK-08"	300	15	48.3443985	72.18540192	55	637.3499756	5869.38916	11.55300045	0.666666687	640.9000244	633.7999878	20	0.183333333333333	0.183333333333333	0
"93"	93	69542	"Santa Clara"	"Luther Burbank Elementary"	"KK-08"	457	24.39999962	16.81609917	67.71299744	50	637.6500244	6462.12793	19.70700073	38.51203537	644.9000244	630.4000244	18.7295084884104	0.109409190371991	0.109409190371991	0
"94"	94	61382	"Butte"	"Bangor Union Elementary"	"KK-08"	146	8	25.34250069	54.10960007	34	637.9499512	6231.601563	7.105000019	0	646.0999756	629.7999878	18.25	0.232876712328767	0.232876712328767	0
"95"	95	68858	"San Mateo"	"Bayshore Elementary"	"KK-08"	460	24.21999931	10.59319973	66.94920349	71	637.9500122	4993.867676	13.72500038	17.17391396	633.2000122	642.7000122	18.9925686665926	0.154347826086957	0.154347826086957	0
"96"	96	72017	"Tulare"	"Oak Valley Union Elementary"	"KK-08"	354	17.79999924	10.27779961	59.72219849	28	638	4663.811035	10.09799957	9.887005806	636.7000122	639.2999878	19.8876412985734	0.0790960451977401	0.0790960451977401	0
"97"	97	65151	"Los Angeles"	"Wilsona Elementary"	"KK-08"	1841	95	25.25799942	64.74739838	315	638.2000122	6107.106445	13.76200008	19.39163589	640.4000244	636	19.3789473684211	0.171102661596958	0.171102661596958	0
"98"	98	63073	"Imperial"	"Brawley Elementary"	"KK-08"	3760	183.75	26.90159988	65.7960968	717	638.3000488	5324.228027	9.664999962	36.48936081	636.2000122	640.4000244	20.4625850340136	0.190691489361702	0.190691489361702	0
"99"	99	63198	"Imperial"	"Meadows Union Elementary"	"KK-08"	500	22.43000031	18.79999924	83	70	638.3000488	5221.460938	10.26399994	39.39999771	630.4000244	646.2000122	22.2915734770224	0.14	0.14	0
"100"	100	64717	"Los Angeles"	"Little Lake City Elementary"	"KK-08"	5112	246.8999939	10.69120026	59.7234993	383	638.3499756	5157.784668	11.56920052	28.67762184	638.5999756	638.0999756	20.7047392721706	0.0749217527386541	0.0749217527386541	0
"101"	101	63719	"Kern"	"Pond Union Elementary"	"KK-08"	146	7.659999847	13.69859982	66.43840027	28	638.5499878	5131.119141	7.40500021	13.69863033	637.5	639.5999756	19.0600526000245	0.191780821917808	0.191780821917808	0
"102"	102	63800	"Kern"	"Taft City Elementary"	"KK-08"	2141	105.8199997	26.49650002	65.38279724	134	638.7000122	5279.354004	12.07699966	11.34983635	636.9000244	640.5	20.2324702898293	0.0625875758991126	0.0625875758991126	0
"103"	103	71357	"Sutter"	"Brittan Elementary"	"KK-08"	610	30.97999954	8.524600029	56.06560135	144	639.25	4704.043945	11.28299999	3.442623138	640.2999878	638.2000122	19.6901229521451	0.236065573770492	0.236065573770492	0
"104"	104	65557	"Mendocino"	"Arena Union Elementary"	"KK-08"	337	16.54999924	21.26250076	60.13290024	26	639.3000488	6089.910645	10.03499985	15.43026733	642.7000122	635.9000244	20.3625386994278	0.0771513353115727	0.0771513353115727	0
"105"	105	67587	"San Bernardino"	"Adelanto Elementary"	"KK-08"	4501	227.8500061	19.12969971	63.9054985	597	639.3499756	5356.833496	8.383999825	17.97378349	639.9000244	638.7999878	19.7542237414932	0.13263719173517	0.13263719173517	0
"106"	106	67470	"San Benito"	"Hollister School District"	"KK-08"	5718	295.0499878	6.84070015	37.04560089	313	639.5	5144.549316	13.63000011	22.71773338	641.4000244	637.5999756	19.3797669426645	0.0547394193774047	0.0547394193774047	0
"107"	107	64857	"Los Angeles"	"Palmdale Elementary"	"KK-08"	19402	846.3800049	20.52370071	51.24209976	1182	639.75	4906.22998	14.12766743	18.43624496	641.7000122	637.7999878	22.9235094020119	0.0609215544789197	0.0609215544789197	0
"108"	108	61507	"Butte"	"Oroville City Elementary"	"KK-08"	3401	175.5500031	52.21989822	74.27230072	560	639.7999878	5489.588867	11.26612473	16.17171478	641.5	638.0999756	19.3733975502277	0.164657453690091	0.164657453690091	0
"109"	109	63792	"Kern"	"Standard Elementary"	"KK-08"	2621	136.8300018	25.82979965	64.09770203	397	639.8499756	5718.55127	13.39000034	2.02212882	641.4000244	638.2999878	19.1551557810474	0.151468904998092	0.151468904998092	0
"110"	110	72447	"Ventura"	"Briggs Elementary"	"KK-08"	426	20	3.990600109	64.78869629	87	639.9000244	4436.152832	11.93799973	9.62441349	634.2999878	645.5	21.3	0.204225352112676	0.204225352112676	0
"111"	111	62323	"Fresno"	"Monroe Elementary"	"KK-08"	205	11.19999981	18.53660011	80.9756012	24	640.0999756	4895.439453	8.258000374	41.46341324	643.5	636.7000122	18.3035717390784	0.117073170731707	0.117073170731707	0
"112"	112	64667	"Los Angeles"	"Lancaster Elementary"	"KK-08"	13668	648.4099731	28.1753006	56.29940033	1321	640.1500244	5159.21875	14.22672749	9.8990345	640.4000244	639.9000244	21.0792562838821	0.0966491074041557	0.0966491074041557	0
"113"	113	65177	"Madera"	"Alview-Dairyland Union Elementary"	"KK-08"	342	18.20000076	11.39599991	68.09120178	98	640.5	5490.654785	10.47200012	16.08187103	637.7000122	643.2999878	18.791208006521	0.286549707602339	0.286549707602339	0
"114"	114	66589	"Orange"	"Magnolia Elementary"	"KK-06"	6518	332.1000061	12.27910042	71.02380371	499	640.75	5172.019531	14.24290085	43.4949379	638.5	643	19.6266181279061	0.0765572261429886	0.0765572261429886	0
"115"	115	71985	"Tulare"	"Liberty Elementary"	"KK-08"	239	12.19999981	15.61180019	69.62030029	30	640.9000244	4441.672852	14.06599998	8.786610603	644.9000244	636.9000244	19.590164239519	0.125523012552301	0.125523012552301	0
"116"	116	69617	"Santa Clara"	"Mt. Pleasant Elementary"	"KK-08"	2911	139.4700012	11.92850018	52.9734993	281	641.0999756	5220.370117	15.96800041	39.02438736	640.4000244	641.7999878	20.8718719076056	0.0965304019237375	0.0965304019237375	0
"117"	117	63123	"Imperial"	"El Centro Elementary"	"KK-08"	6272	297.0400085	28.71999931	71.76239777	1338	641.4499512	5252.810547	10.26399994	53.89030457	639.2999878	643.5999756	21.1150007424	0.213329081632653	0.213329081632653	0
